bin,confidence_min,confidence_max,count,mean_confidence,accuracy
0,0.0,0.1,0,,
1,0.1,0.2,0,,
2,0.2,0.3,12,0.25556325912475586,0.25
3,0.3,0.4,31,0.35514184832572937,0.3225806451612903
4,0.4,0.5,50,0.4430685043334961,0.38
5,0.5,0.6,56,0.5468169450759888,0.6071428571428571
6,0.6,0.7,43,0.6425146460533142,0.6744186046511628
7,0.7,0.8,34,0.7554625272750854,0.8235294117647058
8,0.8,0.9,49,0.8539980053901672,0.9795918367346939
9,0.9,1.0,25,0.9363000988960266,1.0
