class,support,roc_auc_ovr,average_precision_ovr
neutral,20,0.9728571428571429,0.7477791578073534
calm,40,0.959326923076923,0.8009686844919283
happy,40,0.9532692307692308,0.8521343506906962
sad,40,0.800673076923077,0.5159052147930344
angry,40,0.9482692307692308,0.8702361788228177
fearful,40,0.8972115384615384,0.7491845213437035
disgust,40,0.9178846153846154,0.7343693476444146
surprised,40,0.9225961538461538,0.8009293144165142
