class,support,roc_auc_ovr,average_precision_ovr
neutral,20,0.5714285714285714,0.09210046634341
calm,40,0.5690384615384615,0.19285425598753173
happy,40,0.6432692307692307,0.24948420774910873
sad,40,0.5966346153846154,0.1828674888842008
angry,40,0.6833653846153847,0.23002040037437094
fearful,40,0.510576923076923,0.13977922958529976
disgust,40,0.56,0.14839180251045825
surprised,40,0.703173076923077,0.3202213395424706
