bin,confidence_min,confidence_max,count,mean_confidence,accuracy
0,0.0,0.1,0,,
1,0.1,0.2,0,,
2,0.2,0.3,0,,
3,0.3,0.4,0,,
4,0.4,0.5,0,,
5,0.5,0.6,60,0.5451173782348633,0.15
6,0.6,0.7,46,0.6497467160224915,0.10869565217391304
7,0.7,0.8,54,0.7518877387046814,0.1111111111111111
8,0.8,0.9,55,0.8510880470275879,0.23636363636363636
9,0.9,1.0,85,0.9485827088356018,0.18823529411764706
