class,support,roc_auc_ovr,average_precision_ovr
neutral,20,0.9248214285714285,0.3952741418669723
calm,40,0.9270192307692307,0.6783897721734057
happy,40,0.7464423076923078,0.4539389901412506
sad,40,0.6005769230769231,0.2676669899174544
angry,40,0.8866346153846153,0.6886652485667014
fearful,40,0.894326923076923,0.6281993258069373
disgust,40,0.8445192307692307,0.5212398100012885
surprised,40,0.8150000000000001,0.6081585993032093
